City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,25.09,83,75,1.54,TO,2023-03-06 17:47:09
1,taoudenni,22.6783,-3.9836,30.9,8,1,1.66,ML,2023-03-06 17:47:09
2,mar del plata,-38.0023,-57.5575,34.01,71,0,6.69,AR,2023-03-06 17:45:48
3,andenes,69.3143,16.1194,-6.01,53,40,0.0,NO,2023-03-06 17:47:10
4,chokurdakh,70.6333,147.9167,-44.3,100,81,1.04,RU,2023-03-06 17:47:10
5,sorland,67.667,12.6934,-6.08,57,100,9.59,NO,2023-03-06 17:47:10
6,poso,-1.3959,120.7524,24.84,82,100,1.67,ID,2023-03-06 17:47:10
7,east london,-33.0153,27.9116,20.52,88,0,7.2,ZA,2023-03-06 17:44:15
8,ushuaia,-54.8,-68.3,11.81,47,75,4.12,AR,2023-03-06 17:44:21
9,mataura,-46.1927,168.8643,6.34,98,64,1.37,NZ,2023-03-06 17:47:11
10,bluff,-46.6,168.3333,10.37,87,65,4.32,NZ,2023-03-06 17:47:11
11,albany,42.6001,-73.9662,5.88,52,56,5.91,US,2023-03-06 17:47:11
12,provideniya,64.3833,-173.3,-3.68,97,100,1.88,RU,2023-03-06 17:47:11
13,hermanus,-34.4187,19.2345,18.22,79,75,6.63,ZA,2023-03-06 17:47:11
14,saint-philippe,-21.3585,55.7679,26.77,90,100,3.94,RE,2023-03-06 17:47:11
15,yashan,22.1975,109.9419,17.49,79,0,1.68,CN,2023-03-06 17:47:12
16,jamestown,42.097,-79.2353,5.01,84,100,2.68,US,2023-03-06 17:47:12
17,port hedland,-20.3167,118.5667,29.03,58,75,7.72,AU,2023-03-06 17:47:12
18,lebu,-37.6167,-73.65,18.58,76,23,5.19,CL,2023-03-06 17:47:12
19,puerto baquerizo moreno,-0.9,-89.6,28.55,74,75,1.54,EC,2023-03-06 17:47:12
20,busselton,-33.65,115.3333,13.47,79,0,5.89,AU,2023-03-06 17:47:12
21,winneba,5.3511,-0.6231,27.55,81,94,7.31,GH,2023-03-06 17:47:13
22,eldorado,-23.7869,-54.2836,29.07,58,0,2.74,BR,2023-03-06 17:47:13
23,havre-saint-pierre,50.2334,-63.5986,0.2,69,75,2.57,CA,2023-03-06 17:47:13
24,poum,-20.2333,164.0167,26.18,76,22,5.95,NC,2023-03-06 17:47:13
25,thinadhoo,0.5333,72.9333,27.91,68,3,2.17,MV,2023-03-06 17:47:13
26,hirara,24.8,125.2833,18.89,52,0,6.09,JP,2023-03-06 17:47:13
27,yeppoon,-23.1333,150.7333,21.88,83,46,2.42,AU,2023-03-06 17:47:14
28,rikitea,-23.1203,-134.9692,26.89,78,100,9.96,PF,2023-03-06 17:47:14
29,sao joao da barra,-21.6403,-41.0511,33.05,78,97,6.48,BR,2023-03-06 17:47:14
30,new norfolk,-42.7826,147.0587,15.72,66,100,1.34,AU,2023-03-06 17:47:14
31,havelock,34.8791,-76.9013,21.99,32,20,2.24,US,2023-03-06 17:47:14
32,cherskiy,68.75,161.3,-38.67,98,29,1.54,RU,2023-03-06 17:47:15
33,linxia,35.6003,103.2064,6.38,40,53,0.98,CN,2023-03-06 17:47:15
34,dalbandin,28.8947,64.4101,22.92,24,47,2.09,PK,2023-03-06 17:47:15
35,svetlogorsk,52.6333,29.7333,-1.92,68,63,3.24,BY,2023-03-06 17:47:15
36,ferme-neuve,46.7001,-75.4493,-0.88,84,33,5.16,CA,2023-03-06 17:47:15
37,aksu,41.1231,80.2644,9.3,40,46,0.52,CN,2023-03-06 17:47:15
38,qaanaaq,77.484,-69.3632,-8.52,91,92,1.2,GL,2023-03-06 17:47:15
39,salur,18.5333,83.2167,23.09,46,5,0.67,IN,2023-03-06 17:47:16
40,kirkland lake,48.1446,-80.0377,0.16,43,100,3.6,CA,2023-03-06 17:47:16
41,long xuyen,10.3833,105.4167,22.97,79,96,1.88,VN,2023-03-06 17:47:16
42,kaffrine,14.1059,-15.5508,37.38,10,100,1.62,SN,2023-03-06 17:47:16
43,avarua,-21.2078,-159.775,28.03,89,40,7.72,CK,2023-03-06 17:47:17
44,shu,43.5983,73.7614,8.94,88,39,5.93,KZ,2023-03-06 17:47:17
45,hithadhoo,-0.6,73.0833,27.85,67,7,0.58,MV,2023-03-06 17:47:17
46,nome,64.5011,-165.4064,0.09,100,100,7.72,US,2023-03-06 17:47:17
47,bredasdorp,-34.5322,20.0403,18.05,73,92,4.57,ZA,2023-03-06 17:47:17
48,carnarvon,-24.8667,113.6333,25.04,69,0,9.85,AU,2023-03-06 17:47:17
49,punta arenas,-53.15,-70.9167,14.06,44,40,10.8,CL,2023-03-06 17:42:45
